,Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Notes,Date,Time
0,,7328,,2443,5.942101852099101:00,,24/05/2022,12:03 PM
0,,7328,,2443,5.93775984843572:00,,24/05/2022,12:09 PM
0,,7328,,2443,5.931692783037821:00,,24/05/2022,12:15 PM
0,,7328,,2443,5.932826085885366:00,,24/05/2022,12:21 PM
0,,7328,,2443,5.947073626518249:00,,24/05/2022,12:27 PM
0,,7328,,2443,6.62846642335256:00,,24/05/2022,03:37 PM
0,,7328,,2443,6.3354132334391275:00,,24/05/2022,03:43 PM
0,,7328,,2443,6.386625508467357:00,,24/05/2022,03:49 PM
0,,7328,,2443,5.845951171716054:00,,24/05/2022,03:55 PM
0,,7328,,2443,6.506654679775238:00,,24/05/2022,04:02 PM
0,0.12376613944225417,7320,"tensor(0.1617, device='cuda:0')",2441,5.587387526035309:00,,24/05/2022,07:06 PM
0,0.11812240191800909,7320,"tensor(0.1684, device='cuda:0')",2441,5.603257858753205:00,,24/05/2022,07:12 PM
0,0.11551029955378478,7320,"tensor(0.1606, device='cuda:0')",2441,5.601048143704732:00,,24/05/2022,07:17 PM
0,0.11132322897434797,7320,"tensor(0.1641, device='cuda:0')",2441,5.602565983931224:00,,24/05/2022,07:23 PM
0,0.11159425247573321,7320,"tensor(0.1682, device='cuda:0')",2441,5.893370858828226:00,,24/05/2022,07:29 PM
0,0.11443810381045798,7320,"tensor(0.2534, device='cuda:0')",2441,5.8099436402320865:00,,24/05/2022,07:35 PM
0,0.12503559790961224,7320,"tensor(0.1580, device='cuda:0')",2441,5.709874558448791:00,,24/05/2022,07:40 PM
0,0.11309221077276511,7320,"tensor(0.1761, device='cuda:0')",2441,5.786317265033722:00,,24/05/2022,07:46 PM
0,0.11768329328365956,7320,"tensor(0.1685, device='cuda:0')",2441,5.535680751005809:00,,24/05/2022,07:52 PM
0,0.11115504161598362,7320,"tensor(0.1573, device='cuda:0')",2441,5.6041741649309795:00,,24/05/2022,07:57 PM
0,0.10930320523184846,7320,"tensor(0.1702, device='cuda:0')",2441,5.828736340999603:00,,24/05/2022,08:03 PM
0,0.11158974584730488,7320,"tensor(0.1688, device='cuda:0')",2441,6.030500034491221:00,,24/05/2022,08:09 PM
0,0.10972723465340663,7320,"tensor(0.1838, device='cuda:0')",2441,5.699813751379649:00,,24/05/2022,08:15 PM
0,0.11745132807988212,7320,"tensor(0.1677, device='cuda:0')",2441,5.680666029453278:00,,24/05/2022,08:20 PM
0,0.11674358838671119,7320,"tensor(0.1669, device='cuda:0')",2441,5.950551998615265:00,,24/05/2022,08:26 PM
0,0.12664154410252634,7320,"tensor(0.1641, device='cuda:0')",2441,5.954571735858917:00,,24/05/2022,10:37 PM
0,0.12043049492208435,7320,"tensor(0.1682, device='cuda:0')",2441,5.9370079437891645:00,,24/05/2022,10:43 PM
